artist_name,artist_id
Why,1081889
WOODZ,12054553
Gary,869001
Code Kunst,1047400
박병훈,55299084
XIUMIN,1132262
Tablo,124872
Epiik,13582287
ASH ISLAND,30617328
宋旻浩,985011
Cosmograph,29865037
KURO,31856428
Benzamin,28103423
chengcheng,59809688
闫桉,12131510
LeellaMarz,12053603
郭泰勋,1050538
Zahirshah Ablimit,12320414
Mario,124316
在玹,12895079
JENNIE,12061232
ROSÉ,12062255
Ailee,125175
尹美莱,126011
金艺林,125550
IU,160947
柳多恋,55271200
Ashley Alisha,27856257
Punch,1043105
BoA,125237
EJAE,35534666
LISA,12062254
昭宥,866090
沈圭善,125968
泫雅,126066
允儿,126130
CL,768159
白艺潾,1050333
太妍,125506
Mellow,1081441
李遐怡,181009
MINNIE,15248079
한나,1028014
Yoari,126127
朴春,125829
WENDY,896665
金喜善,203245
NS允智,125783
李泳知,31710222
孝琳,818694
郑仁,126191
DAZBEE,29896257
BIBI,12457112
孝彬,1028008
그래쓰,33851835
J.Fla,805090
수안,32087491
NIDA,29702684
Wax,126112
宣美,818678
오혜주,14921028
최인희,14921027
영주,1015103
Hari,125416
尹恩惠,126099
白智英,125216
孝敏,956382
敏雅,493780
NAYUL,12463048
JISOO,12061233
金娜英,830036
Taru,126014
leejean,55924172
林娜琏,11973104
金请夏,12096061
宋枝恩,125938
七哼Qhyung,34199735
Elaine,1015123
JEON SOMI,12108267
李贞贤,125616
JINSIL,1025248
DJHAIOU,12337185
华莎,1050391
Jessica,125527
Stella Jang,1054076
Heize,964049
itssiu,51057471
Jessi,1050232
JAMIE,827360
ANNIE,99356480
Rubyeye,54664977
曺薇娟,15249075
윤하 (YOUNHA),126101
金润雅,125473
田小娟,12073588
DIA,125296
C!naH,54664978
蔡妍,125230
李安,125654
YooA,28083424
雪娥,12098020
韩秀智,956056
suru,53933880
多愿,12023382
秀斌,12098026
Raon,12262293
HanYuGa,30790332
Dalda,12107667
LYn,125617
Ali,125183
Lillo,963067
Blue.D,28085394
AHYEON,60398697
李孝利,125615
Gummy,125351
融真,1081640
李宝蓝,125686
全孝盛,916059
Hoody,832284
YENA (崔叡娜),48583103
BIGBANG,126339
EXO,759509
BLACKPINK,12068017
aespa,37351063
i-dle,14055085
Trouble Maker,161330
T-ara,127815
TWICE,1161043
SEVENTEEN,1080132
BABYMONSTER,55268878
IVE,50377945
AOA,126312
Apink,126277
LNGSHOT,122117537
少女时代,126793
脸红的思春期,1039524
KiiiKiii,97197815
HUNTR/X,99228633
SHINee,127582
Beast,126377
Sistar,127672
BTS (防弹少年团),783124
JYJ,159051
Wonder Girls,128048
NewJeans,53457899
2NE1,128177
EXO-K,126722
Epik High,126682
KISS OF LIFE,57446856
Lovelyz,1026002
FIFTY FIFTY,54746300
Red Velvet,976157
ITZY,31155319
NMIXX,51480970
MYNAME,127249
Stray Kids,12647860
2Lson,128142
10cm,128195
RESCENE,60499364
RIIZE,57931447
Brown Eyed Girls,126327
f(x),127043
iKON,1011143
Leessang,127089
FIESTAR,126783
ALLDAY PROJECT,98893138
AKMU,758041
EXID,126721
ILLIT,60927068
CNBLUE,126524
Pinkfong,30140937
2PM,128182
4MINUTE,128176
VROMANCE,11995099
SUPER JUNIOR,127587
TOMORROW X TOGETHER,31154262
ENHYPEN,36909712
GD&TOP,126841
MAMAMOO,868006
Dynamic Duo,126610
TREASURE,31156387
野菊花,128245
miss A,127210
NCT DREAM,12107352
Sistar19,127709
015B,128188
MEOVV,94967189
黑裙子,127838
tripleS,54514784
ATEEZ,30107626
WINNER,976163
Girl's Day,126828
GD X TAEYANG,1032279
N.Flying,886043
GOT7,881021
LE SSERAFIM,52181107
PENTAGON,12041119
STAYC,37153940
东方神起,126614
Badkiz,900003
DJMAX,159416
Dungeon and Fighter,31464841
Crayon Pop,126581
마리오앤드,58385211
高耀太,126797
NCT 127,12073222
IZ*ONE,29490548
Brave Girls,126345
DAViCHi,126592
MFBTY,711416
PLAVE,56027440
StudioEIM,11978034
ZEROBASEONE,56575573
High4,905037
JERIDE,48760642
DAY6,1146052
Stellar,127714
MOMOLAND,12170236
As One,126243
CORTIS,99550011
